index,Simple Avg.,Weighted Avg.,Simulation (Non Parametric),Monte Carlo Simulation,"ARIMA (0,1,1)",Robust Simple Avg.,Robust Exponantial Smoothing,Robust Weighted Avg.,Simple Avg. (Budget = 70),Simple Avg. (Budget = 60),ICT Score,Robust ICT Score,Hybrid Weighted 1:2 (Higher Total Points),Hybrid Weighted 2:1 (Lower Total Points),Involvement,Exponantial Smoothing,Linear Regression,"ARIMA (1,1,0)","ARIMA (1,1,1)","ARIMA (2,1,2)","ARIMA (2,1,1)","ARIMA (1,1,2)","ARIMA (1,0,0)","ARIMA (0,0,1)",Hybrid ARIMA 1:2 (Higher Total Points),Hybrid ARIMA 2:1 (Lower Total Points),Hybrid Simple Avg. 1:2 (Higher Total Points),Hybrid ICT Score 1:2 (Higher Total Points),Hybrid ICT Score 2:1 (Lower Total Points),Hybrid Linear Regression 1:2 (Higher Total Points),Hybrid Linear Regression 2:1 (Lower Total Points),Hybrid Monte Carlo 2:1 (Lower Total Points),Hybrid Simulation (Non Parametric) 1:2 (Higher Total Points),Hybrid Simulation (Non Parametric) 2:1 (Lower Total Points),Hybrid Simple Avg. 2:1 (Lower Total Points),Hybrid Monte Carlo 1:2 (Higher Total Points),Hybrid Exponential Smoothing 1:2 (Higher Total Points),Hybrid Exponential Smoothing 2:1 (Lower Total Points),Simple Avg. (Budget = 75),Simple Avg. (Budget = 80),Simple Avg. (Budget = 65),Simple Avg. (Budget = 55),Weighted Avg. (Budget = 80),Weighted Avg. (Budget = 75),Weighted Avg. (Budget = 70),Weighted Avg. (Budget = 65),Weighted Avg. (Budget = 60),Monte Carlo (Budget = 80),Monte Carlo (Budget = 75),Monte Carlo (Budget = 70),Monte Carlo (Budget = 65),Monte Carlo (Budget = 60),"ARIMA (0,0,1, Budget = 80)","ARIMA (0,0,1, Budget = 75)","ARIMA (0,0,1, Budget = 70)","ARIMA (0,0,1, Budget = 65)","ARIMA (1,0,0, Budget = 80)","ARIMA (1,0,0, Budget = 75)","ARIMA (1,0,0, Budget = 70)","ARIMA (1,0,0, Budget = 65)","ARIMA (1,0,0, Budget = 60)",Hybrid ICT Score (Budget = 80),Hybrid ICT Score (Budget = 75),Hybrid ICT Score (Budget = 70),Hybrid ICT Score (Budget = 65),ICT Score (Budget = 80),ICT Score (Budget = 75),ICT Score (Budget = 70),Santoro (mean-MIP-random alg),Santoro (greedy alg),Santoro (mean-MIP-rank),Santoro (mean-MIP-online),Simple Avg. Rolling,Simple Avg. Rolling (Budget = 80),Simple Avg. Rolling (Budget = 65),Simple Avg. Rolling (Budget = 70),Weighted Avg. Rolling,Weighted Avg. Rolling (Budget = 80),Weighted Avg. Rolling (Budget = 70),Weighted Avg. Rolling (Budget = 60),"ARIMA (0,0,1) Rolling","ARIMA (0,0,1) Rolling (Budget = 80)","ARIMA (0,0,1) Rolling (Budget = 70)","ARIMA (0,0,1) Rolling (Budget = 60)","ARIMA (1,0,0) Rolling","ARIMA (1,0,0) Rolling (Budget = 75)","ARIMA (1,0,0) Rolling (Budget = 70)","ARIMA (1,0,0) Rolling (Budget = 60)","ARIMA (1,0,1)","ARIMA (1,0,1, Budget = 80)","ARIMA (1,0,1, Budget = 75)","ARIMA (1,0,1, Budget = 70)","ARIMA (1,0,1, Budget = 65)","ARIMA (1,0,1, Budget = 60)","ARIMA (1,0,1) Rolling (Budget = 80)","ARIMA (1,0,1) Rolling (Budget = 70)","ARIMA (1,0,1) Rolling (Budget = 60)","ARIMA (1,0,1) Rolling"
1,76,68,68,70,60,63,31,71,72,71,67,72,83,67,34,31,56,55,52,29,55,54,70,71,83,60,75,75,59,63,48,59,83,54,59,75,46,45,79,74,68,57,71,72,69,56,53,68,73,66,62,61,59,74,77,61,67,75,76,61,54,81,73,85,79,60,59,46,45,26,52,78,76,74,68,72,68,71,69,53,71,59,48,48,70,75,76,54,68,66,72,66,69,54,66,66,54,68
2,31,38,34,31,35,32,23,32,28,35,39,36,36,36,13,35,33,35,34,41,42,40,31,47,53,30,37,37,28,41,59,28,42,26,28,37,44,35,28,27,28,36,32,39,38,38,38,27,28,28,28,34,45,46,32,30,43,45,29,26,26,38,37,38,38,29,33,34,34,40,53,35,33,30,30,29,38,32,39,38,46,46,37,37,33,46,38,31,57,55,56,50,37,35,55,50,35,55
3,10,7,10,10,6,32,17,28,7,7,6,27,9,10,4,2,5,18,5,13,19,16,10,9,11,11,11,11,13,7,9,13,13,13,13,11,2,8,7,8,7,6,5,5,5,7,11,8,7,7,7,8,8,11,7,9,8,9,8,7,9,13,11,10,12,9,10,3,36,20,36,44,10,8,7,7,5,3,3,11,7,8,7,7,8,9,8,7,8,7,9,8,8,8,7,8,8,10
4,50,56,52,52,39,26,33,33,63,39,27,21,42,27,14,44,42,26,34,21,33,30,52,57,52,33,46,46,32,39,41,32,47,21,32,46,46,31,58,55,43,48,58,52,49,42,43,57,60,65,45,30,61,57,51,45,60,59,60,50,44,52,50,42,42,26,25,24,17,7,26,35,50,55,49,63,56,58,52,46,57,71,57,57,52,67,54,50,60,53,53,61,46,46,53,61,46,60
5,40,64,42,40,27,27,21,41,44,29,47,48,58,31,11,38,56,27,25,30,25,18,40,61,59,16,56,56,15,46,27,15,44,14,15,56,57,44,62,58,36,37,62,64,57,37,40,58,62,44,36,33,45,64,61,36,55,60,57,27,27,62,38,60,40,32,32,46,17,10,22,82,39,60,34,44,64,62,64,40,61,42,40,40,39,65,60,36,54,54,56,33,33,38,54,33,38,55
6,65,70,68,62,51,76,27,69,69,62,62,53,53,63,45,25,38,47,48,34,42,42,62,72,53,51,43,43,55,19,22,55,49,53,55,43,34,26,58,65,74,44,69,63,64,67,66,62,55,66,71,74,78,70,67,68,64,60,57,50,43,49,56,52,59,70,55,43,37,23,42,31,63,82,74,67,70,69,63,69,72,80,64,64,60,76,79,67,68,65,61,52,55,47,65,52,47,67
7,33,52,22,28,25,35,19,32,72,77,39,55,54,36,22,43,52,36,31,24,30,29,28,46,58,44,58,58,43,43,46,43,32,41,43,58,41,39,56,58,78,52,49,50,47,58,42,53,51,67,73,60,54,52,61,77,55,57,68,80,69,57,80,55,54,29,33,41,31,3,40,66,27,52,65,67,52,49,50,50,46,73,66,66,28,46,72,70,57,61,59,71,70,72,61,71,72,56
8,60,64,60,54,38,40,30,59,50,37,65,70,55,56,22,28,45,25,42,27,35,35,55,61,42,37,44,44,37,34,13,37,46,40,37,44,38,32,59,60,45,25,62,63,58,49,40,54,53,44,39,43,49,63,58,34,53,60,55,29,16,41,39,69,54,45,54,43,35,7,38,41,59,68,50,65,64,62,63,57,61,55,32,32,55,65,60,40,47,47,51,31,33,19,47,31,19,48
9,31,46,49,41,50,46,33,53,48,42,38,42,18,30,53,31,24,53,44,40,52,39,41,50,27,29,33,33,29,22,39,29,38,25,29,33,29,23,38,26,50,37,45,46,50,54,55,36,48,58,60,39,53,52,54,64,44,45,47,52,61,33,31,15,21,36,37,41,23,4,28,46,31,35,49,58,46,50,51,58,50,61,68,68,41,63,58,63,42,46,44,54,54,55,46,54,55,43
10,62,69,67,70,59,50,59,51,53,46,36,63,67,67,52,76,69,70,68,65,68,65,70,76,84,62,72,72,63,55,56,63,78,70,63,72,70,62,52,63,51,52,69,58,56,53,50,71,60,61,59,46,72,64,63,57,79,79,75,58,63,79,80,44,53,56,46,46,21,23,52,65,62,60,59,53,69,73,62,54,76,80,74,74,70,62,80,50,70,70,62,71,69,65,70,71,65,70
11,51,59,55,48,36,49,19,57,47,39,43,30,50,50,20,27,33,28,32,25,32,37,48,58,49,31,43,43,32,24,16,32,45,27,32,43,43,35,55,55,44,32,59,59,55,47,39,52,52,44,41,51,55,62,58,43,47,56,53,35,27,49,42,55,48,50,48,48,17,15,25,47,51,70,49,58,59,64,64,48,58,53,52,52,48,67,67,44,46,46,50,33,31,26,46,33,26,47
12,41,42,37,39,45,30,36,42,18,23,50,43,38,28,11,39,52,37,46,43,38,36,39,41,45,24,43,43,28,53,42,28,39,21,28,43,61,68,34,40,24,23,41,37,31,17,19,38,32,16,22,25,27,36,29,24,49,43,37,22,26,38,23,36,25,50,59,46,8,13,6,53,41,51,32,21,42,37,33,25,41,26,25,25,39,49,44,21,55,55,48,26,23,23,55,26,23,54
